col1,col2
architecture,"Kiến trúc, Xây dựng, Công trình"
cinema,"Rạp chiếu phim, Điện ảnh, Phim trường"
college_3,"Trường cao đẳng 3, Đại học, Học viện"
concert_singer,"Ca sĩ biểu diễn, Nghệ sĩ, Nhạc công"
customers_campaigns_ecommerce,"Chiến dịch khách hàng thương mại điện tử, Tiếp thị trực tuyến, Kinh doanh số"
customers_card_transactions,"Giao dịch thẻ khách hàng, Thanh toán điện tử, Thẻ tín dụng"
document_management,"Quản lý tài liệu, Hồ sơ, Lưu trữ dữ liệu"
e_learning,"Học trực tuyến, Giáo dục trực tuyến, Khóa học online"
farm,"Nông trại, Trang trại, Canh tác"
flight_company,"Hãng hàng không, Công ty hàng không, Vận tải hàng không"
manufacturer,"Nhà sản xuất, Doanh nghiệp, Công ty chế tạo"
museum_visit,"Tham quan bảo tàng, Du lịch bảo tàng, Khám phá di sản"
network_1,"Mạng lưới 1, Hệ thống kết nối, Internet"
party_host,"Chủ trì tiệc, Người tổ chức sự kiện, Chủ tiệc"
phone_market,"Thị trường điện thoại, Kinh doanh di động, Buôn bán điện thoại"
product_catalog,"Danh mục sản phẩm, Bộ sưu tập sản phẩm, Hàng hóa"
scientist_1,"Nhà khoa học 1, Chuyên gia nghiên cứu, Học giả"
ship_mission,"Nhiệm vụ tàu thủy, Hành trình biển, Vận tải đường biển"
singer,"Ca sĩ, Nghệ sĩ hát, Nhạc sĩ"
sports_competition,"Cuộc thi thể thao, Giải đấu, Trận đấu"
swimming,"Bơi lội, Bơi lặn, Môn thể thao dưới nước"
tracking_share_transactions,"Theo dõi giao dịch cổ phiếu, Giám sát chứng khoán, Đầu tư"
train_station,"Ga tàu, Nhà ga, Trạm xe lửa"
voter_1,"Cử tri 1, Người đi bầu, Công dân bỏ phiếu"
wta_1,"Hiệp hội quần vợt nữ 1, Giải quần vợt nữ, Liên đoàn tennis nữ"
assets_maintenance,"Bảo trì tài sản, Sửa chữa tài sản, Quản lý tài nguyên"
book_2,"Sách 2, Tài liệu, Ấn phẩm"
company_1,"Công ty 1, Doanh nghiệp, Tập đoàn"
course_teach,"Khóa học giảng dạy, Lớp học, Đào tạo"
decoration_competition,"Cuộc thi trang trí, Thiết kế nội thất, Nghệ thuật trang trí"
election_representative,"Đại diện bầu cử, Ứng cử viên, Chính trị gia"
match_season,"Mùa giải đấu, Giải đấu, Mùa giải"
perpetrator,"Thủ phạm, Kẻ gây án, Tội phạm"
station_weather,"Trạm thời tiết, Trung tâm khí tượng, Dự báo thời tiết"
wedding,"Đám cưới, Hôn lễ, Tiệc cưới"
activity_1,"Hoạt động 1, Sự kiện, Chương trình"
body_builder,"Vận động viên thể hình, Người tập thể hình, Gymer"
candidate_poll,"Thăm dò ứng cử viên, Khảo sát bầu cử, Điều tra dư luận"
city_record,"Hồ sơ thành phố, Thông tin đô thị, Dữ liệu thành phố"
college_1,"Trường cao đẳng 1, Đại học, Viện giáo dục"
cre_Doc_Control_Systems,"Hệ thống kiểm soát tài liệu, Quản lý hồ sơ, Giám sát tài liệu"
cre_Drama_Workshop_Groups,"Nhóm hội thảo kịch, Lớp diễn xuất, Câu lạc bộ sân khấu"
customers_and_invoices,"Khách hàng và hóa đơn, Đơn hàng, Thanh toán"
customers_and_products_contacts,"Khách hàng và liên hệ sản phẩm, Mối quan hệ khách hàng, Hỗ trợ khách hàng"
department_management,"Quản lý phòng ban, Điều hành bộ phận, Tổ chức công việc"
driving_school,"Trường dạy lái xe, Trung tâm đào tạo lái xe, Học lái ô tô"
employee_hire_evaluation,"Đánh giá tuyển dụng nhân viên, Kiểm tra nhân sự, Tuyển chọn nhân viên"
flight_2,"Chuyến bay 2, Hành trình hàng không, Vé máy bay"
game_injury,"Chấn thương khi chơi game, Tổn thương thể thao, Tai nạn thi đấu"
imdb,"Cơ sở dữ liệu phim IMDb, Thông tin phim, Xếp hạng điện ảnh"
insurance_and_eClaims,"Bảo hiểm và khiếu nại điện tử, Hợp đồng bảo hiểm, Yêu cầu bồi thường"
local_govt_in_alabama,"Chính quyền địa phương ở Alabama, Cơ quan nhà nước, Quản lý khu vực"
machine_repair,"Sửa chữa máy móc, Bảo trì thiết bị, Kỹ thuật cơ khí"
mountain_photos,"Ảnh núi, Nhiếp ảnh thiên nhiên, Phong cảnh núi non"
music_2,"Âm nhạc 2, Giai điệu, Nghệ thuật âm thanh"
products_for_hire,"Sản phẩm cho thuê, Dịch vụ cho thuê, Vật dụng thuê mướn"
restaurant_1,"Nhà hàng 1, Quán ăn, Dịch vụ ẩm thực"
sakila_1,"Cửa hàng, Bộ phim, Địa chỉ, Khách hàng, Thanh toán, Thành phố"
school_bus,"Xe buýt trường học, Phương tiện đưa đón học sinh, Giao thông học đường"
school_player,"Học sinh chơi thể thao, Vận động viên học đường, Đội tuyển trường"
soccer_1,"Bóng đá 1, Môn thể thao vua, Đội tuyển bóng đá"
store_product,"Sản phẩm cửa hàng, Hàng hóa, Mặt hàng kinh doanh"
storm_record,"Ghi chép bão, Lịch sử thiên tai, Thống kê thời tiết"
student_1,"Sinh viên 1, Học viên, Học sinh"
student_assessment,"Đánh giá học sinh, Kiểm tra năng lực, Xếp loại học tập"
workshop_paper,"Bài nghiên cứu hội thảo, Tài liệu học thuật, Thảo luận chuyên đề"
yelp,"Trang đánh giá Yelp, Nhận xét nhà hàng, Phản hồi khách hàng"
academic,"Học thuật, Giáo dục, Nghiên cứu"
aircraft,"Máy bay, Phi cơ, Hàng không"
allergy_1,"Dị ứng 1, Phản ứng miễn dịch, Bệnh dị ứng"
apartment_rentals,"Thuê căn hộ, Chung cư, Nhà cho thuê"
baseball_1,"Bóng chày 1, Trận đấu bóng chày, Môn thể thao"
battle_death,"Cái chết trong trận chiến, Tử trận, Hy sinh"
behavior_monitoring,"Giám sát hành vi, Theo dõi thói quen, Phân tích hành vi"
bike_1,"Xe đạp 1, Phương tiện hai bánh, Xe đạp thể thao"
browser_web,"Trình duyệt web, Công cụ tìm kiếm, Truy cập Internet"
car_1,"Xe hơi 1, Ô tô, Phương tiện giao thông"
chinook_1,"Album, Bài hát, Bản nhạc, Quốc gia, Khách hàng, Nhân viên, Âm nhạc, Nghệ sĩ"
